label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_URISyntaxException
${BASE_URL}/,0.00000,0.00000,0.00000,891825,5,825,0.00005,0,825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.00100,825
,0.00000,0.00000,0.00000,891825,5,825,0.00005,0,825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00100,0.00100,825
